SaleID,SaleDate,CustomerID,ProductID,StoreID,Quantity,UnitPrice
1001,2026-09-10,C001,P001,S001,1,55000
1002,2026-09-10,C002,P002,S002,2,800
1003,2026-09-10,C003,P003,S003,1,1500
1004,2026-09-10,C999,P004,S004,1,12000
1005,2026-09-10,C004,P999,S005,1,9500
1006,2026-09-10,C005,P001,S999,1,55000
1007,,C001,P002,S002,1,800
1008,2026-13-45,C002,P003,S003,1,1500
1009,2026-09-10,C003,P004,S004,0,12000
1010,2026-09-10,C004,P005,S005,1,-9500
1011,2026-09-10,C005,P001,S001,1,55000
1011,2026-09-10,C001,P002,S002,2,800
